"","gene_name","baseMean.x","log2FoldChange.x","lfcSE.x","stat.x","pvalue.x","padj.x","baseMean.y","log2FoldChange.y","lfcSE.y","stat.y","pvalue.y","padj.y"
"2013","mcm2",250.687239084505,0.43887484458656,0.158404909532221,2.77058865083527,0.00559550660408954,0.040255718620361,1335.51944251234,0.683176251068224,0.0905087533575486,7.54817877525484,4.41386781732505e-14,2.55400065410555e-13
"2062","mio",487.669500237307,-0.489298675330634,0.142346024564168,-3.43738911450994,0.000587351154420938,0.00627804478963837,1174.87629027977,-0.244995907186635,0.0813525549060169,-3.01153304244309,0.00259932111394151,0.00574928673759589
"2077","mod",5606.42859950096,0.565842977560137,0.141154224432038,4.00868610087243,6.10575118164897e-05,0.000886668082908355,36207.4091390853,1.68990497368238,0.081466892201086,20.7434569801823,1.40459247652084e-95,1.30439161886481e-93
"2367","peb",1429.26906251341,0.35231780639659,0.134963935511032,2.61045889824243,0.00904208369211115,0.0593593617393793,1813.31302860993,-0.417845412071757,0.0664289041889323,-6.29011447913322,3.17231939347639e-10,1.40853117312367e-09
"2393","pgrp-lc",445.456950780708,-0.351727100737949,0.143233495651164,-2.45562044784942,0.0140641612724357,0.0825867432723381,1421.19882383822,-0.391602328909309,0.0737096814631118,-5.31276653400392,1.07973333454605e-07,3.92676323294505e-07
"2423","pit",904.761096751669,0.625981262828701,0.164150015262433,3.81347063433361,0.000137028814005296,0.00183430277326046,7350.81061529202,1.33508645239899,0.0811630057939709,16.4494456475412,8.4639360489199e-61,3.47706930458277e-59
"2722","sima",4823.53541038253,0.341649384633012,0.125268217374865,2.72734291101651,0.00638466499971996,0.0444996577216756,9740.20326450886,-0.301097571217151,0.0492019477408074,-6.11962706849154,9.37946103127833e-10,4.02364842613752e-09
"2904","sug",1827.59457535865,2.52717128755322,0.121931632071485,20.7261335276117,2.01330386356874e-95,1.26368372503331e-92,3553.59749613747,-3.31202304832666,0.142500069410681,-23.2422556846727,1.70368815151464e-119,2.61238786674693e-117
"2934","taf6",496.188858055108,-0.354241774180762,0.125139393499127,-2.83077745764553,0.00464350171190023,0.0347202398021501,1003.23911794062,-0.249139616622966,0.0809042557099788,-3.07943771853075,0.00207391727852198,0.00464956598977717
"2992","top1",2632.80126310498,0.382693087529164,0.109864183392266,3.4833289222455,0.000495219517006764,0.00545852692989504,9222.641348295,0.525474414112441,0.0599657662116551,8.76290669342449,1.90279153008272e-18,1.43547550956526e-17
